lat,lon,genus,species,count
28.456922,-100.322,Acacia,farnesiana,3
28.509253,-80.999068,Sabal,palmetto,10
28.509882,-98.014877,Acacia,farnesiana,4
28.51963,-99.508791,Diospyros,texana,2
28.533509,-81.849866,Quercus,laurifolia,3
28.575963,-97.60053,Acacia,farnesiana,2
28.575963,-97.60053,Diospyros,texana,8
28.575963,-97.60053,Quercus,virginiana,13
28.590292,-81.259856,Albizia,julibrissin,1
28.63223,-97.029034,Acacia,farnesiana,5
28.673068,-80.952114,Pinus,elliottii,23
28.673068,-80.952114,Quercus,nigra,3
28.688736,-81.798187,Pinus,palustris,10
28.688736,-81.798187,Quercus,laurifolia,9
28.701707,-82.500143,Pinus,clausa,34
28.701707,-82.500143,Quercus,laevis,2
28.701707,-82.500143,Quercus,minima,5
28.72926,-97.553369,Acacia,farnesiana,7
28.72926,-97.553369,Prosopis,glandulosa,2
28.733792,-80.928087,Sabal,palmetto,5
28.760266,-81.476568,Taxodium,distichum,8
28.760266,-81.476568,Sabal,palmetto,33
28.760266,-81.476568,Tilia,americana,1
28.763535,-82.196515,Taxodium,distichum,19
28.76405,-99.818526,Diospyros,texana,2
28.76405,-99.818526,Condalia,hookeri,2
28.782034,-96.602557,Acacia,farnesiana,1
28.782034,-96.602557,Sideroxylon,lanuginosum,2
28.782034,-96.602557,Prosopis,glandulosa,22
28.809713,-99.170649,Diospyros,texana,4
28.809713,-99.170649,Fraxinus,pennsylvanica,10
28.809713,-99.170649,Fraxinus,texensis,1
28.809713,-99.170649,Quercus,virginiana,9
28.809713,-99.170649,Condalia,hookeri,1
28.809713,-99.170649,Ulmus,crassifolia,8
28.819871,-80.888524,Sabal,palmetto,25
28.823665,-96.8589,Acacia,farnesiana,15
28.832523,-81.00626,Taxodium,ascendens,3
28.844747,-81.443173,Diospyros,virginiana,7
28.844747,-81.443173,Quercus,laurifolia,2
28.844747,-81.443173,Quercus,minima,2
28.844747,-81.443173,Sabal,palmetto,58
28.856834,-96.03381,Carya,illinoinensis,11
28.860909,-82.326003,Pinus,palustris,34
28.861653,-82.453735,Quercus,laevis,1
28.861653,-82.453735,Quercus,minima,11
28.86276,-82.594095,Sabal,palmetto,7
28.864518,-97.071124,Triadica,sebifera,18
28.885852,-97.528984,Sideroxylon,lanuginosum,4
28.885852,-97.528984,Celtis,laevigata,3
28.885852,-97.528984,Diospyros,texana,4
28.885852,-97.528984,Condalia,hookeri,4
28.899362,-80.856371,Juniperus,virginiana,5
28.90868,-81.116329,Taxodium,ascendens,24
28.90868,-81.116329,Gordonia,lasianthus,2
28.90868,-81.116329,Sabal,palmetto,9
28.915601,-81.417392,Pinus,clausa,8
28.915601,-81.417392,Quercus,virginiana,2
28.915601,-81.417392,Quercus,minima,2
28.919266,-98.477528,Diospyros,texana,1
28.919266,-98.477528,Condalia,hookeri,1
28.942289,-96.559233,Celtis,laevigata,9
28.942289,-96.559233,Crataegus,spp.,2
28.945162,-82.135098,Quercus,minima,1
28.947441,-97.658997,Acacia,farnesiana,15
28.9591,-82.530159,Quercus,laevis,4
28.9591,-82.530159,Quercus,incana,1
28.985147,-80.945728,Sabal,palmetto,17
28.993845,-81.547683,Pinus,palustris,16
28.993845,-81.547683,Quercus,virginiana,7
29.001597,-81.682565,Pinus,clausa,13
29.001597,-81.682565,Quercus,minima,6
29.006058,-82.405589,Pinus,clausa,3
29.006058,-82.405589,Salix,caroliniana,1
29.014121,-81.811266,Pinus,clausa,54
29.014121,-81.811266,Quercus,minima,2
29.069424,-97.353543,Acacia,farnesiana,6
29.07671,-81.476773,Sabal,palmetto,26
29.077623,-81.665222,Pinus,clausa,9
29.095776,-82.519978,Quercus,minima,20
29.095776,-82.519978,Quercus,incana,1
29.097579,-81.791963,Pinus,clausa,19
29.097579,-81.791963,Quercus,minima,6
29.127276,-99.124786,Acacia,farnesiana,3
29.127276,-99.124786,Condalia,hookeri,1
29.135738,-96.925578,Quercus,nigra,75
29.135738,-96.925578,Quercus,virginiana,35
29.135738,-96.925578,Melia,azedarach,3
29.135927,-95.691338,Quercus,virginiana,13
29.146585,-81.619357,Persea,borbonia,4
29.146585,-81.619357,Quercus,minima,6
29.148735,-81.159743,Pinus,elliottii,7
29.148735,-81.159743,Taxodium,ascendens,13
29.148735,-81.159743,Gordonia,lasianthus,18
29.148735,-81.159743,Persea,borbonia,5
29.149942,-81.490838,Pinus,elliottii,3
29.149942,-81.490838,Taxodium,ascendens,4
29.157004,-100.479371,Prosopis,glandulosa,28
29.160613,-98.975213,Celtis,occidentalis,8
29.160613,-98.975213,Juglans,microcarpa,1
29.169581,-82.625494,Taxodium,ascendens,1
29.169581,-82.625494,Sabal,palmetto,1
29.172488,-82.761741,Fraxinus,caroliniana,1
29.172488,-82.761741,Persea,borbonia,1
29.172488,-82.761741,Quercus,laurifolia,10
29.172488,-82.761741,Sabal,palmetto,15
29.172488,-82.761741,Ulmus,americana,9
29.189762,-99.188652,Diospyros,texana,5
29.189762,-99.188652,Quercus,virginiana,5
29.189762,-99.188652,Condalia,hookeri,2
29.20109,-81.484382,Gordonia,lasianthus,1
29.20109,-81.484382,Magnolia,virginiana,1
29.20109,-81.484382,Nyssa,aquatica,9
29.20109,-81.484382,Nyssa,biflora,1
29.219774,-81.159859,Pinus,elliottii,33
29.230908,-82.570828,Quercus,minima,14
29.237842,-82.434142,Quercus,minima,4
29.242881,-82.87795,Fraxinus,caroliniana,3
29.242881,-82.87795,Salix,caroliniana,3
29.247188,-83.010143,Taxodium,distichum,8
29.247188,-83.010143,Taxodium,ascendens,1
29.247188,-83.010143,Persea,borbonia,5
29.247188,-83.010143,Salix,caroliniana,1
29.24843,-82.750952,Sabal,palmetto,25
29.250355,-81.73214,Pinus,clausa,38
29.250355,-81.73214,Quercus,laevis,1
29.255165,-81.413546,Taxodium,ascendens,78
29.255165,-81.413546,Magnolia,virginiana,45
29.260255,-99.770745,Prosopis,glandulosa,55
29.280421,-100.185182,Diospyros,texana,2
29.284877,-81.691771,Pinus,clausa,46
29.284877,-81.691771,Quercus,minima,1
29.294697,-95.67131,Triadica,sebifera,2
29.301583,-97.98321,Sideroxylon,lanuginosum,4
29.301583,-97.98321,Carya,texana,15
29.301583,-97.98321,Quercus,marilandica,16
29.301583,-97.98321,Quercus,stellata,47
29.315542,-98.948223,Celtis,occidentalis,5
29.31874,-96.7626,Quercus,virginiana,20
29.324572,-97.848124,Celtis,occidentalis,5
29.328514,-83.006721,Nyssa,biflora,1
29.328514,-83.006721,Sabal,palmetto,3
29.328514,-83.006721,Salix,caroliniana,1
29.335678,-97.158296,Celtis,laevigata,12
29.335678,-97.158296,Quercus,virginiana,13
29.345166,-98.258754,Acacia,farnesiana,5
29.369309,-82.707459,Persea,borbonia,5
29.384958,-81.226572,Gordonia,lasianthus,4
29.387774,-81.092783,Juniperus,virginiana,8
29.390699,-82.816468,Taxodium,ascendens,1
29.390978,-81.951209,Pinus,elliottii,34
29.390978,-81.951209,Quercus,nigra,3
29.392547,-81.51973,Pinus,clausa,1
29.396152,-82.67918,Taxodium,ascendens,41
29.40126,-99.898271,Juniperus,ashei,13
29.40126,-99.898271,Diospyros,texana,5
29.40126,-99.898271,Quercus,virginiana,32
29.405938,-82.546218,Pinus,palustris,9
29.405938,-82.546218,Quercus,laevis,7
29.406314,-83.117208,Juniperus,virginiana,1
29.406314,-83.117208,Taxodium,ascendens,13
29.406314,-83.117208,Fraxinus,profunda,2
29.406314,-83.117208,Sabal,palmetto,2
29.406314,-83.117208,Tilia,americana,1
29.413009,-95.357854,Celtis,laevigata,9
29.413009,-95.357854,Crataegus,spp.,1
29.413009,-95.357854,Quercus,nigra,75
29.413009,-95.357854,Triadica,sebifera,14
29.417274,-98.791883,Condalia,hookeri,2
29.417274,-98.791883,Ulmus,crassifolia,6
29.441584,-100.163068,Diospyros,texana,16
29.452063,-82.942862,Magnolia,grandiflora,1
29.452063,-82.942862,Sabal,palmetto,3
29.452063,-82.942862,Tilia,americana,11
29.459847,-99.060913,Quercus,virginiana,6
29.46046,-81.764313,Pinus,clausa,23
29.470631,-82.359118,Nyssa,biflora,2
29.475701,-83.223971,Magnolia,grandiflora,2
29.475701,-83.223971,Sabal,palmetto,11
29.475701,-83.223971,Family Arecaceae,not listed above,1
29.480354,-98.922209,Juniperus,ashei,40
29.480354,-98.922209,Prosopis,glandulosa,7
29.501859,-81.634569,Pinus,serotina,10
29.501859,-81.634569,Gordonia,lasianthus,26
29.504864,-100.28227,Celtis,laevigata,1
29.50632,-100.696399,Diospyros,texana,23
